fps,ms
33.9873,294228.0
34.0019,294101.0
33.9924,294184.0
33.9067,294927.0
33.8585,295347.0
33.8746,295207.0
33.8846,295120.0
33.8626,295311.0
33.849,295429.0
33.8788,295170.0
