bodies,fps,ms,gf
1000,1422.56,7029.6,79.5
2000,399.892,25006.8,89.4
3000,172.64,57923.9,86.8
4000,98.1527,101882.0,87.8
5000,63.0494,158606.0,88.1
6000,44.1502,45299.9,88.8
7000,32.5121,61515.6,89.0
8000,24.9243,80243.1,89.1
9000,19.7276,101381.0,89.3
10000,16.0407,124683.0,89.6
