bodies,fps,ms,gf
1000,342.751,2917.57,19.2
2000,86.2105,11599.5,19.3
3000,37.3574,26768.4,18.8
4000,21.8483,45770.2,19.5
5000,13.9706,71579.1,19.5
6000,9.73676,102704.0,19.6
7000,7.18288,139220.0,19.7
8000,5.51477,181331.0,19.7
9000,4.362,229253.0,19.7
10000,3.52419,283753.0,19.7
